
   11                2 100m freestyle for sailors    
   12                2 1200m freestyle               
   13                2 1500m freestyle               
   14                2 200m backstroke               
   15                2 200m breaststroke             
   16                2 200m butterfly                
   17                2 200m freestyle                
   18                2 200m individual medley        
   19                2 200m obstacle event           

   ID    DISCIPLINE_ID EVENT                     
_____ ________________ _________________________ 
   20                2 200m team swimming        
   21                2 4000m freestyle           
   22                2 400m breaststroke         
   23                2 400m freestyle            
   24                2 400m individual medley    
   25                2 4x100m freestyle relay    
   26                2 4x100m medley relay       
   27                2 4x200m freestyle relay    
   28                2 4x50y freestyle relay     
   29                2 50m freestyle             

   ID    DISCIPLINE_ID EVENT                       
_____ ________________ ___________________________ 
   30                2 50y freestyle (45.72m)      
   31                2 800m freestyle              
   32                2 880y freestyle (804.66m)    
   33                2 marathon 10km               
   34                2 underwater swimming         
   35                3 duet                        
   36                3 solo                        
   37                3 team                        
   38                4 water polo                  
   39                5 au chapelet, 33m            

   ID    DISCIPLINE_ID EVENT                                      
_____ ________________ __________________________________________ 
   40                5 au chapelet, 50m                           
   41                5 au cordon dor�, 33m                        
   42                5 au cordon dor�, 50m                        
   43                5 continental style 50m                      
   44                5 double american round (60y - 50y - 40y)    
   45                5 double columbia round (50y - 40y - 30y)    
   46                5 double national round (60y - 50y)          
   47                5 double york round (100y - 80y - 60y)       
   48                5 fixed bird target large birds              
   49                5 fixed bird target large birds teams        

   ID    DISCIPLINE_ID EVENT                                    
_____ ________________ ________________________________________ 
   50                5 fixed bird target small bird, teams      
   51                5 fixed bird target small birds            
   52                5 individual (FITA Olympic round - 70m)    
   53                5 individual FITA round                    
   54                5 moving bird target 28m teams             
   55                5 moving bird target 33m teams             
   56                5 moving bird target 50m teams             
   57                5 moving bird target, 28m                  
   58                5 moving bird target, 33m                  
   59                5 moving bird target, 50m                  

   ID    DISCIPLINE_ID EVENT                              
_____ ________________ __________________________________ 
   60                5 national round (60y - 50y)         
   61                5 sur la perche � la herse           
   62                5 sur la perche � la pyramide        
   63                5 team (FITA Olympic round - 70m)    
   64                5 team round 60y                     
   65                5 teams FITA round                   
   66                5 york round (100y - 80y - 60y)      
   67                6 10000m                             
   68                6 10000m walk                        
   69                6 100m                               

   ID    DISCIPLINE_ID EVENT                    
_____ ________________ ________________________ 
   70                6 100m hurdles             
   71                6 10miles walk (16093m)    
   72                6 110m hurdles             
   73                6 1500m                    
   74                6 200m                     
   75                6 200m hurdles             
   76                6 20km race walk           
   77                6 20km walk                
   78                6 3000m                    
   79                6 3000m steeplechase       

   ID    DISCIPLINE_ID EVENT                  
_____ ________________ ______________________ 
   80                6 3000m team             
   81                6 3000m walk             
   82                6 3200m steeplechase     
   83                6 3500m walk             
   84                6 3miles team (4828m)    
   85                6 4000m steeplechase     
   86                6 400m                   
   87                6 400m hurdles           
   88                6 4miles team            
   89                6 4x100m relay           

   ID    DISCIPLINE_ID EVENT                         
_____ ________________ _____________________________ 
   90                6 4x400m relay                  
   91                6 5 miles (8047m)               
   92                6 5000m                         
   93                6 5000m team                    
   94                6 50km walk                     
   95                6 56lb weight throw (25.4kg)    
   96                6 60m                           
   97                6 800m                          
   98                6 80m hurdles                   
   99                6 cross country individual      

    ID    DISCIPLINE_ID EVENT                         
______ ________________ _____________________________ 
   100                6 cross country team            
   101                6 decathlon                     
   102                6 discus throw                  
   103                6 discus throw ancient style    
   104                6 discus throw, both hands      
   105                6 hammer throw                  
   106                6 heptathlon                    
   107                6 high jump                     
   108                6 high jump, standing           
   109                6 javelin throw                 

    ID    DISCIPLINE_ID EVENT                                           
______ ________________ _______________________________________________ 
   110                6 javelin throw freestyle                         
   111                6 javelin throw, both hands                       
   112                6 long jump                                       
   113                6 long jump, standing                             
   114                6 marathon                                        
   115                6 pentathlon                                      
   116                6 pole vault                                      
   117                6 shot put                                        
   118                6 shot put, both hands                            
   119                6 triathlon (long jump / shot put / 100 yards)    

    ID    DISCIPLINE_ID EVENT                      
______ ________________ __________________________ 
   120                6 triple jump                
   121                6 triple jump, standing      
   122                7 doubles                    
   123                7 singles                    
   124                8 baseball                   
   125                9 basketball                 
   126               10 cesta punta                
   127               11 + 71.67kg (heavyweight)    
   128               11 + 79.38kg (heavyweight)    
   129               11 + 80kg (heavyweight)       

    ID    DISCIPLINE_ID EVENT                             
______ ________________ _________________________________ 
   130               11 + 81kg (heavyweight)              
   131               11 + 91kg (super heavyweight)        
   132               11 - 47.63kg (flyweight)             
   133               11 - 48kg (light-flyweight)          
   134               11 - 50.8kg (flyweight)              
   135               11 - 51kg (flyweight)                
   136               11 - 52.62kg (bantamweight)          
   137               11 47.63 - 52.16kg (bantamweight)    
   138               11 48 - 51kg (flyweight)             
   139               11 48kg (light flywieght)            

    ID    DISCIPLINE_ID EVENT                              
______ ________________ __________________________________ 
   140               11 50.8 - 53.52kg (bantamweight)      
   141               11 50.8 - 54kg (bantamweight)         
   142               11 51 - 54kg (bantamweight)           
   143               11 52.16 - 56.7kg (featherweight)     
   144               11 52.62 - 57.15kg (featherweight)    
   145               11 53.52 - 57.15kg (featherweight)    
   146               11 54 - 57.15kg (featherweight)       
   147               11 54 - 57kg (featherweight)          
   148               11 54 - 58kg (featherweight)          
   149               11 56.7 - 61.24kg (lightweight)       

    ID    DISCIPLINE_ID EVENT                               
______ ________________ ___________________________________ 
   150               11 57 - 60kg (lightweight)             
   151               11 57.15 - 61.24kg (lightweight)       
   152               11 57.15 - 63.5kg (lightweight)        
   153               11 58 - 62kg (lightweight)             
   154               11 60 - 63.5kg (light-welterweight)    
   155               11 60 - 64 kg                          
   156               11 61.24 - 65.77kg (welterweight)      
   157               11 61.24 - 66.68kg (welterweight)      
   158               11 62 - 67kg (welterweight)            
   159               11 63.5 - 67kg (welterweight)          

    ID    DISCIPLINE_ID EVENT                                  
______ ________________ ______________________________________ 
   160               11 63.5 - 71.67kg (middleweight)          
   161               11 64 - 69 kg                             
   162               11 65.77 - 71.67kg (middleweight)         
   163               11 66.68 - 72.57kg (middleweight)         
   164               11 67 - 71kg (light-middleweight)         
   165               11 67 - 73kg (middleweight)               
   166               11 69 - 75 kg                             
   167               11 71-75kg                                
   168               11 72.57 - 79.38kg (light-heavyweight)    
   169               11 73 - 80kg (light-heavyweight)          

    ID    DISCIPLINE_ID EVENT                            
______ ________________ ________________________________ 
   170               11 75 - 81kg (light-heavyweight)    
   171               11 81 - 91kg (heavyweight)          
   172               12 C-1 10000m                       
   173               12 C-1 1000m (canoe single)         
   174               12 C-1 500m (canoe single)          
   175               12 C-2 10000m                       
   176               12 C-2 1000m (canoe double)         
   177               12 C-2 500m (canoe double)          
   178               12 K-1 10000m                       
   179               12 K-1 1000m (kayak single)         

    ID    DISCIPLINE_ID EVENT                       
______ ________________ ___________________________ 
   180               12 K-1 4x500m                  
   181               12 K-1 500m (kayak single)     
   182               12 K-2 10000m                  
   183               12 K-2 1000m (kayak double)    
   184               12 K-2 500m (kayak double)     
   185               12 K-4 1000m (kayak four)      
   186               12 K-4 500m (kayak four)       
   187               12 folding K-1 10000m          
   188               12 folding K-2 10000m          
   189               13 C-1 (canoe single)          

    ID    DISCIPLINE_ID EVENT                    
______ ________________ ________________________ 
   190               13 C-2 (canoe double)       
   191               13 K-1 (kayak single)       
   192               14 cricket                  
   193               15 double                   
   194               15 individual 1 ball        
   195               15 individual 2 balls       
   196               16 Individual               
   197               16 individual               
   198               17 individual road race     
   199               17 individual time trial    

    ID    DISCIPLINE_ID EVENT                       
______ ________________ ___________________________ 
   200               17 team time trial             
   201               18 1 mile (1609.3m)            
   202               18 1/2 mile (804.7m)           
   203               18 1/3 mile (536.5m)           
   204               18 1/4 mile (402.3m)           
   205               18 100km                       
   206               18 10km                        
   207               18 12-hour race                
   208               18 1980 yards Pursuit, Team    
   209               18 1km Pursuit                 

    ID    DISCIPLINE_ID EVENT                  
______ ________________ ______________________ 
   210               18 1km time trial         
